# M_uv LF sig_pos sig_neg
-24.0 8.1e-12 nan nan
-23.5 7.0e-10 nan nan
-23.0 2.2e-08 nan nan
-22.5 3.0e-07 nan nan
-22.0 2.0e-06 1.2e-06 1.2e-06
-21.5 8.5e-06 3.3e-06 3.3e-06
-21.0 2.6e-05 6.7e-06 6.7e-06
-20.5 6.6e-05 2.9e-05 2.9e-05
-20.0 1.5e-04 4.7e-05 4.7e-05
-19.5 3.2e-04 1.4e-04 1.4e-04
-19.0 6.0e-04 nan nan
-18.5 9.5e-04 3.2e-04 3.2e-04
-18.0 1.5e-03 6.4e-04 6.4e-04
-17.5 2.2e-03 4.4e-04 4.4e-04
-17.0 3.3e-03 6.6e-04 6.6e-04
-16.5 4.8e-03 9.7e-04 9.7e-04
-16.0 7.0e-03 1.4e-03 1.4e-03
-15.5 1.0e-02 2.0e-03 2.0e-03
-15.0 1.4e-02 2.8e-03 2.8e-03
-14.5 2.0e-02 4.0e-03 4.0e-03
-14.0 2.7e-02 5.5e-03 5.5e-03
-13.5 3.8e-02 7.0e-02 3.0e-02
-13.0 5.2e-02 nan nan
-12.5 7.0e-02 1.5e-01 5.7e-02
-12.0 9.4e-02 1.8e-01 6.9e-02
-11.5 1.3e-01 6.2e-01 1.0e-01
-11.0 1.7e-01 nan nan
-10.5 2.2e-01 nan nan
-10.0 2.9e-01 nan nan
-9.5 3.8e-01 nan nan
-9.0 5.0e-01 nan nan
-8.5 6.5e-01 nan nan
-8.0 8.5e-01 nan nan
